Species,FST,GST,JD,habitat,adult_diet,larval_diet,range_size
Camptochaeta_delicata,0.008071877,0.248389,0.2361564,Terrestrial,N/A,Fungivore,71751.18
Corynoneura_arctica,0.007232784,0.3030454,0.2928901,Aquatic,N/A,Phytophagous_and_Saprophagous,314919434
Cricotopus_patens,0.04980843,0.7498992,0.7236789,Aquatic,N/A,Phytophagous,171173.6
Diamesa_arctica,0.01088903,0.7814539,0.776642,Aquatic,N/A,Phytophagous_and_Saprophagous,27031.91
Diamesa_chorea,0.01367758,0.2251189,0.2036279,Aquatic,N/A,Phytophagous_and_Saprophagous,22030896
Drymeia_groenlandica,0.04150267,0.4282828,0.3787724,Terrestrial,Nectivore,Predaceous,8679.134
Limnophyes_brachytomus,0.001503082,0.1012915,0.09858578,Aquatic,N/A,Phytophagous_and_Saprophagous,108844.8
Limnophyes_ninae,0.006194672,0.3590072,0.3510163,Aquatic,N/A,Phytophagous_and_Saprophagous,108844.8
Limnophyes_pumilio,0.0250694,0.892001,0.8864469,Aquatic,N/A,Phytophagous_and_Saprophagous,151127544
Lycoriella_flavipeda,0.002656152,0.158952,0.1544722,Terrestrial,N/A,Fungivore,2271867
Lycoriella_riparia,0.00841739,0.2315696,0.2185234,Terrestrial,N/A,Fungivore,76259.19
Megaselia_cirriventris,0.02317544,0.6942872,0.6797809,Terrestrial,Saprophagous,Saprophagous,122164.3
Nephrotoma_lundbecki,0.02882039,0.3796758,0.3428588,Aquatic,N/A,Saprophagous,94961027
Paraphaenocladius_impensus,0.006099281,0.195196,0.1853183,Aquatic,N/A,Phytophagous_and_Saprophagous,0
Phytomyza_puccinelliae,0.009812669,0.2816259,0.2673879,Terrestrial,Phytophagous,Phytophagous,108143.4
Protophormia_terraenovae,0.03675349,0.8389246,0.8266327,Terrestrial,Nectivore,Saprophagous,8005.932
Smittia_extrema,0.01580975,0.470475,0.4534627,Terrestrial,N/A,Phytophagous_and_Saprophagous,109294.9
Spilogona_dorsata,0.01120404,0.1811615,0.162605,Terrestrial,Predaceous,Predaceous,0.3224743
